zip,state_abbrev,county_code
03909,me,031
03910,me,031
03911,me,031
04001,me,031
04002,me,031
04003,me,005
04004,me,031
04005,me,031
04006,me,031
04008,me,023
04009,me,005
04010,me,017
04011,me,005
04011,me,023
04013,me,005
04014,me,031
04015,me,005
04016,me,017
04017,me,005
04019,me,005
04020,me,031
04021,me,005
04022,me,017
04024,me,005
04027,me,031
04028,me,031
04029,me,005
04030,me,031
04032,me,005
04033,me,005
04034,me,005
04037,me,017
04038,me,031
04038,me,005
04039,me,005
04040,me,005
04040,me,017
04041,me,017
04042,me,031
04043,me,031
04046,me,031
04047,me,031
04048,me,031
04049,me,031
04050,me,005
04051,me,017
04054,me,031
04055,me,005
04056,me,031
04057,me,005
04061,me,031
04062,me,005
04063,me,031
04064,me,031
04066,me,005
04068,me,017
04069,me,005
04070,me,005
04071,me,005
04072,me,031
04073,me,031
04074,me,005
04076,me,031
04077,me,005
04078,me,005
04079,me,005
04082,me,005
04083,me,031
04084,me,005
04084,me,031
04085,me,005
04086,me,023
04087,me,031
04088,me,017
04090,me,031
04091,me,005
04092,me,005
04093,me,005
04093,me,031
04094,me,031
04095,me,031
04096,me,005
04097,me,005
04098,me,005
04101,me,005
04102,me,005
04103,me,005
04104,me,005
04105,me,005
04106,me,005
04107,me,005
04108,me,005
04109,me,005
04110,me,005
04112,me,005
04116,me,005
04122,me,005
04123,me,005
04124,me,005
04210,me,001
04211,me,001
04212,me,001
04216,me,017
04217,me,017
04219,me,017
04220,me,001
04220,me,017
04221,me,017
04222,me,001
04222,me,005
04223,me,001
04224,me,017
04224,me,007
04225,me,007
04226,me,017
04227,me,007
04228,me,001
04230,me,001
04231,me,017
04234,me,007
04236,me,001
04237,me,017
04238,me,017
04238,me,001
04239,me,007
04239,me,001
04239,me,017
04240,me,001
04241,me,001
04243,me,001
04250,me,001
04252,me,001
04252,me,023
04253,me,001
04254,me,001
04254,me,011
04255,me,017
04256,me,001
04257,me,017
04258,me,001
04259,me,011
04260,me,001
04260,me,005
04261,me,017
04262,me,007
04263,me,001
04265,me,011
04266,me,001
04267,me,017
04268,me,017
04270,me,017
04270,me,001
04271,me,017
04274,me,001
04274,me,005
04275,me,017
04276,me,017
04280,me,001
04281,me,017
04282,me,001
04284,me,011
04285,me,007
04286,me,017
04287,me,023
04287,me,011
04288,me,001
04289,me,017
04290,me,017
04291,me,001
04292,me,017
04294,me,007
04330,me,011
04332,me,011
04333,me,011
04336,me,011
04338,me,011
04341,me,015
04342,me,015
04343,me,011
04344,me,011
04345,me,011
04345,me,023
04346,me,011
04347,me,011
04348,me,015
04349,me,011
04350,me,011
04351,me,011
04352,me,011
04353,me,011
04353,me,015
04354,me,015
04354,me,027
04355,me,011
04357,me,023
04357,me,011
04358,me,011
04358,me,027
04359,me,011
04360,me,011
04363,me,011
04364,me,011
04401,me,019
04402,me,019
04406,me,021
04408,me,009
04410,me,019
04411,me,019
04412,me,019
04413,me,029
04414,me,021
04415,me,021
04416,me,009
04417,me,019
04418,me,019
04419,me,019
04420,me,009
04421,me,009
04422,me,019
04424,me,003
04424,me,029
04426,me,021
04427,me,019
04428,me,019
04429,me,019
04429,me,009
04430,me,019
04431,me,009
04434,me,019
04435,me,019
04438,me,027
04441,me,021
04442,me,021
04443,me,021
04444,me,019
04448,me,021
04448,me,019
04449,me,019
04450,me,019
04451,me,019
04451,me,003
04453,me,019
04454,me,029
04455,me,019
04456,me,019
04457,me,019
04459,me,003
04459,me,019
04460,me,019
04461,me,019
04462,me,019
04463,me,021
04464,me,021
04468,me,019
04469,me,019
04471,me,003
04472,me,009
04473,me,019
04474,me,019
04475,me,019
04476,me,009
04478,me,025
04479,me,021
04481,me,021
04485,me,021
04487,me,003
04487,me,019
04488,me,019
04489,me,019
04490,me,029
04491,me,029
04492,me,029
04493,me,019
04495,me,019
04496,me,027
04497,me,019
04497,me,003
04530,me,023
04535,me,015
04537,me,015
04538,me,015
04539,me,015
04541,me,015
04543,me,015
04544,me,015
